id	id_user	id_service
58	20	176
59	20	543
60	20	855
61	73	258
36	73	619
37	73	258
38	73	229
39	73	557
40	37	797
203	37	836
204	55	346
205	55	836
184	12	258
207	12	548
208	12	258
209	12	311
210	63	229
157	63	543
158	63	287
159	62	258
66	62	346
67	62	855
68	62	323
69	59	557
70	59	501
298	59	229
299	59	415
300	89	258
301	89	619
302	89	659
185	15	176
186	15	229
181	15	323
182	15	501
183	48	501
214	90	346
215	90	176
216	90	176
217	90	415
218	90	415
281	70	501
282	70	501
283	70	855
284	22	797
285	22	501
219	22	176
220	22	619
221	74	287
222	74	311
223	74	619
224	74	548
225	26	543
226	30	548
227	30	855
269	30	548
270	47	311
271	47	346
272	28	311
228	28	258
20	28	287
21	28	619
22	8	548
23	8	346
172	8	557
173	8	287
174	54	836
175	54	287
17	54	557
18	54	836
19	54	229
112	83	415
113	83	543
114	7	836
235	7	501
236	7	176
237	7	176
259	7	323
260	21	229
261	21	258
262	21	258
263	4	415
234	4	287
139	60	548
31	60	229
32	23	346
33	23	501
34	23	548
4	75	855
303	75	548
304	44	346
305	44	311
53	44	346
54	44	836
55	69	346
44	84	855
45	84	176
46	84	176
47	84	855
95	34	548
96	34	229
97	34	258
98	87	619
1	79	557
2	79	836
3	79	287
125	79	176
126	79	619
278	95	323
279	95	855
280	95	229
264	95	346
265	66	548
266	66	548
85	66	501
86	17	797
87	88	797
229	86	323
230	86	287
231	86	659
232	45	176
287	45	415
288	45	543
238	45	287
239	45	501
240	58	287
241	58	311
41	41	323
42	41	311
43	94	557
247	49	415
248	49	323
249	38	346
250	72	311
115	1	836
273	1	557
274	65	548
275	65	557
276	65	323
277	68	557
132	56	543
211	56	619
212	56	659
213	10	346
102	10	548
176	10	346
177	10	258
178	96	543
179	96	323
180	96	176
130	91	415
131	91	619
289	91	311
290	52	855
291	52	797
292	52	855
78	52	548
79	35	557
80	35	176
136	35	176
137	18	659
138	18	287
103	18	501
104	29	258
105	29	659
106	29	501
107	29	659
94	13	346
150	13	797
151	3	323
152	3	548
171	36	543
108	98	797
109	98	287
110	98	855
111	98	346
117	33	836
118	33	258
119	33	619
120	33	797
121	33	346
122	76	543
123	76	501
124	76	258
81	2	543
82	24	836
167	24	176
168	81	855
195	81	619
196	81	258
197	6	501
198	6	287
160	6	287
161	6	557
162	6	543
153	43	836
154	43	543
155	43	548
156	43	311
13	25	543
14	25	415
15	25	619
16	25	557
242	5	659
243	5	543
244	5	501
245	53	659
246	46	548
129	46	619
88	46	176
89	46	855
99	100	836
100	100	836
101	100	797
140	61	659
141	61	501
142	61	415
52	61	557
56	61	619
57	31	258
48	31	229
49	31	836
50	31	287
51	31	619
71	51	855
72	51	287
233	51	287
9	51	543
10	40	836
28	77	323
29	77	548
30	77	346
133	77	415
190	50	229
191	16	323
192	19	501
193	19	258
194	19	415
73	42	836
74	42	836
75	42	229
76	42	258
77	32	836
127	32	501
128	32	258
255	32	836
256	32	229
257	93	346
258	93	346
267	93	855
268	93	619
116	71	501
134	71	323
135	71	548
199	71	346
200	14	311
201	14	346
202	14	176
5	14	619
6	9	557
7	9	836
8	9	548
62	9	323
63	9	855
64	67	659
65	67	287
11	67	855
12	92	258
143	92	176
144	39	311
145	39	855
146	39	176
251	39	415
252	82	176
253	82	836
254	82	287
286	82	323
206	82	346
169	99	836
170	99	548
90	99	836
91	78	176
92	78	619
93	78	258
163	78	619
164	78	323
165	27	855
166	57	229
187	57	855
188	64	287
189	64	797
147	64	287
148	64	287
149	85	659
35	85	287
24	85	415
25	85	311
26	85	176
27	11	855
293	11	176
294	11	836
295	11	346
296	80	501
297	97	176
83	97	548
84	97	855
